id,sameAs
ocd-division/country:ru/state:ad/ed:1,ocd-division/country:ru/state:ad/ed:adygea
ocd-division/country:ru/state:al/ed:2,ocd-division/country:ru/state:al/ed:altai
ocd-division/country:ru/state:ba/ed:3,ocd-division/country:ru/state:ba/ed:ufimsky
ocd-division/country:ru/state:ba/ed:4,ocd-division/country:ru/state:ba/ed:blagoveshchensky
ocd-division/country:ru/state:ba/ed:5,ocd-division/country:ru/state:ba/ed:beloretsky
ocd-division/country:ru/state:ba/ed:6,ocd-division/country:ru/state:ba/ed:neftekamsk
ocd-division/country:ru/state:ba/ed:7,ocd-division/country:ru/state:ba/ed:salavat
ocd-division/country:ru/state:ba/ed:8,ocd-division/country:ru/state:ba/ed:sterlitamak
ocd-division/country:ru/state:bu/ed:9,ocd-division/country:ru/state:bu/ed:buryatia
ocd-division/country:ru/state:da/ed:10,ocd-division/country:ru/state:da/ed:makhachkala
ocd-division/country:ru/state:da/ed:11,ocd-division/country:ru/state:da/ed:buynaksk
ocd-division/country:ru/state:da/ed:12,ocd-division/country:ru/state:da/ed:derbent
ocd-division/country:ru/state:in/ed:13,ocd-division/country:ru/state:in/ed:ingushetia
ocd-division/country:ru/state:kb/ed:14,ocd-division/country:ru/state:kb/ed:kabardino-balkaria
ocd-division/country:ru/state:kl/ed:15,ocd-division/country:ru/state:kl/ed:kalmykia
ocd-division/country:ru/state:kc/ed:16,ocd-division/country:ru/state:kc/ed:karachay-cherkessia
ocd-division/country:ru/state:kr/ed:17,ocd-division/country:ru/state:kr/ed:karelia
ocd-division/country:ru/state:ko/ed:18,ocd-division/country:ru/state:ko/ed:syktyvkar
ocd-division/country:ru/state:me/ed:22,ocd-division/country:ru/state:me/ed:mari_el
ocd-division/country:ru/state:mo/ed:23,ocd-division/country:ru/state:mo/ed:mordovia
ocd-division/country:ru/state:sa/ed:24,ocd-division/country:ru/state:sa/ed:yakutia
ocd-division/country:ru/state:se/ed:25,ocd-division/country:ru/state:se/ed:north_ossetia
ocd-division/country:ru/state:ta/ed:26,ocd-division/country:ru/state:ta/ed:privolzhsky
ocd-division/country:ru/state:ta/ed:27,ocd-division/country:ru/state:ta/ed:moskovsky
ocd-division/country:ru/state:ta/ed:28,ocd-division/country:ru/state:ta/ed:nizhnekamsk
ocd-division/country:ru/state:ta/ed:29,ocd-division/country:ru/state:ta/ed:naberezhnye_chelny
ocd-division/country:ru/state:ta/ed:30,ocd-division/country:ru/state:ta/ed:almetyevsk
ocd-division/country:ru/state:ta/ed:31,ocd-division/country:ru/state:ta/ed:tatarstan_central
ocd-division/country:ru/state:ty/ed:32,ocd-division/country:ru/state:ty/ed:tuva
ocd-division/country:ru/state:ud/ed:33,ocd-division/country:ru/state:ud/ed:udmurtia
ocd-division/country:ru/state:ud/ed:34,ocd-division/country:ru/state:ud/ed:izhevsky
ocd-division/country:ru/state:kk/ed:35,ocd-division/country:ru/state:kk/ed:khakassia
ocd-division/country:ru/state:ce/ed:36,ocd-division/country:ru/state:ce/ed:chechnya
ocd-division/country:ru/state:cu/ed:37,ocd-division/country:ru/state:cu/ed:kanash
ocd-division/country:ru/state:cu/ed:38,ocd-division/country:ru/state:cu/ed:cheboksarsky
ocd-division/country:ru/state:alt/ed:39,ocd-division/country:ru/state:alt/ed:barnaulsky
ocd-division/country:ru/state:alt/ed:41,ocd-division/country:ru/state:alt/ed:biysk
ocd-division/country:ru/state:alt/ed:42,ocd-division/country:ru/state:alt/ed:slavgorod
ocd-division/country:ru/state:kam/ed:45,ocd-division/country:ru/state:kam/ed:kamchatka
ocd-division/country:ru/state:kya/ed:54,ocd-division/country:ru/state:kya/ed:krasnoyarsky
ocd-division/country:ru/state:kya/ed:55,ocd-division/country:ru/state:kya/ed:krasnoyarsk_-_central
ocd-division/country:ru/state:kya/ed:56,ocd-division/country:ru/state:kya/ed:divnogorsk
ocd-division/country:ru/state:kya/ed:57,ocd-division/country:ru/state:kya/ed:yeniseysk
ocd-division/country:ru/state:per/ed:58,ocd-division/country:ru/state:per/ed:permsky
ocd-division/country:ru/state:per/ed:59,ocd-division/country:ru/state:per/ed:chusovskoy
ocd-division/country:ru/state:per/ed:60,ocd-division/country:ru/state:per/ed:kungur
ocd-division/country:ru/state:per/ed:61,ocd-division/country:ru/state:per/ed:kudymkar
ocd-division/country:ru/state:pri/ed:62,ocd-division/country:ru/state:pri/ed:vladivostoksky
ocd-division/country:ru/state:pri/ed:63,ocd-division/country:ru/state:pri/ed:artyomovsky
ocd-division/country:ru/state:pri/ed:64,ocd-division/country:ru/state:pri/ed:arsenyev
ocd-division/country:ru/state:sta/ed:65,ocd-division/country:ru/state:sta/ed:stavropolsky
ocd-division/country:ru/state:sta/ed:66,ocd-division/country:ru/state:sta/ed:nevinnomyssk
ocd-division/country:ru/state:sta/ed:67,ocd-division/country:ru/state:sta/ed:kavminvodsky
ocd-division/country:ru/state:sta/ed:68,ocd-division/country:ru/state:sta/ed:georgiyevsk
ocd-division/country:ru/state:kha/ed:69,ocd-division/country:ru/state:kha/ed:khabarovsky
ocd-division/country:ru/state:kha/ed:70,ocd-division/country:ru/state:kha/ed:komsomolsky
ocd-division/country:ru/state:amu/ed:71,ocd-division/country:ru/state:amu/ed:amursky
ocd-division/country:ru/state:ark/ed:72,ocd-division/country:ru/state:ark/ed:arkhangelsky
ocd-division/country:ru/state:ark/ed:73,ocd-division/country:ru/state:ark/ed:kotlas
ocd-division/country:ru/state:ast/ed:74,ocd-division/country:ru/state:ast/ed:astrakhan
ocd-division/country:ru/state:bel/ed:75,ocd-division/country:ru/state:bel/ed:belgorodsky
ocd-division/country:ru/state:bel/ed:76,ocd-division/country:ru/state:bel/ed:stary_oskol
ocd-division/country:ru/state:bry/ed:77,ocd-division/country:ru/state:bry/ed:bryansky
ocd-division/country:ru/state:bry/ed:78,ocd-division/country:ru/state:bry/ed:unecha
ocd-division/country:ru/state:vla/ed:79,ocd-division/country:ru/state:vla/ed:vladimirsky
ocd-division/country:ru/state:vla/ed:80,ocd-division/country:ru/state:vla/ed:suzdalsky
ocd-division/country:ru/state:vgg/ed:81,ocd-division/country:ru/state:vgg/ed:volgogradsky
ocd-division/country:ru/state:vgg/ed:83,ocd-division/country:ru/state:vgg/ed:mikhaylovsky
ocd-division/country:ru/state:vgg/ed:84,ocd-division/country:ru/state:vgg/ed:volzhsky
ocd-division/country:ru/state:vlg/ed:85,ocd-division/country:ru/state:vlg/ed:vologodsky
ocd-division/country:ru/state:vlg/ed:86,ocd-division/country:ru/state:vlg/ed:cherepovets
ocd-division/country:ru/state:vor/ed:87,ocd-division/country:ru/state:vor/ed:voronezhsky
ocd-division/country:ru/state:vor/ed:89,ocd-division/country:ru/state:vor/ed:anninsky
ocd-division/country:ru/state:vor/ed:90,ocd-division/country:ru/state:vor/ed:pavlovsky
ocd-division/country:ru/state:irk/ed:93,ocd-division/country:ru/state:irk/ed:irkutsky
ocd-division/country:ru/state:irk/ed:94,ocd-division/country:ru/state:irk/ed:angarsk
ocd-division/country:ru/state:irk/ed:95,ocd-division/country:ru/state:irk/ed:shelekhov
ocd-division/country:ru/state:irk/ed:96,ocd-division/country:ru/state:irk/ed:bratsk
ocd-division/country:ru/state:kgd/ed:97,ocd-division/country:ru/state:kgd/ed:kaliningradsky
ocd-division/country:ru/state:kgd/ed:98,ocd-division/country:ru/state:kgd/ed:kaliningrad_-_central
ocd-division/country:ru/state:kem/ed:101,ocd-division/country:ru/state:kem/ed:kemerovsky
ocd-division/country:ru/state:kem/ed:102,ocd-division/country:ru/state:kem/ed:prokopyevsky
ocd-division/country:ru/state:kem/ed:103,ocd-division/country:ru/state:kem/ed:zavodsky
ocd-division/country:ru/state:kem/ed:104,ocd-division/country:ru/state:kem/ed:novokuznetsky
ocd-division/country:ru/state:kir/ed:105,ocd-division/country:ru/state:kir/ed:kirovsky
ocd-division/country:ru/state:kir/ed:106,ocd-division/country:ru/state:kir/ed:kirovo-chepetsky
ocd-division/country:ru/state:kos/ed:107,ocd-division/country:ru/state:kos/ed:kostroma
ocd-division/country:ru/state:kgn/ed:108,ocd-division/country:ru/state:kgn/ed:kurgan
ocd-division/country:ru/state:krs/ed:109,ocd-division/country:ru/state:krs/ed:kursky
ocd-division/country:ru/state:krs/ed:110,ocd-division/country:ru/state:krs/ed:seimsky
ocd-division/country:ru/state:len/ed:111,ocd-division/country:ru/state:len/ed:vsevolozhsky
ocd-division/country:ru/state:len/ed:112,ocd-division/country:ru/state:len/ed:gatchina
ocd-division/country:ru/state:len/ed:113,ocd-division/country:ru/state:len/ed:volkhovsky
ocd-division/country:ru/state:lip/ed:114,ocd-division/country:ru/state:lip/ed:lipetsky
ocd-division/country:ru/state:lip/ed:115,ocd-division/country:ru/state:lip/ed:levoberezhny
ocd-division/country:ru/state:mag/ed:116,ocd-division/country:ru/state:mag/ed:magadan
ocd-division/country:ru/state:mos/ed:117,ocd-division/country:ru/state:mos/ed:balashikha
ocd-division/country:ru/state:mos/ed:118,ocd-division/country:ru/state:mos/ed:dmitrovsky
ocd-division/country:ru/state:mos/ed:119,ocd-division/country:ru/state:mos/ed:kolomensky
ocd-division/country:ru/state:mos/ed:120,ocd-division/country:ru/state:mos/ed:krasnogorsky
ocd-division/country:ru/state:mos/ed:121,ocd-division/country:ru/state:mos/ed:lyubertsy
ocd-division/country:ru/state:mos/ed:122,ocd-division/country:ru/state:mos/ed:odintsovo
ocd-division/country:ru/state:mos/ed:123,ocd-division/country:ru/state:mos/ed:orekhovo-zuyevo
ocd-division/country:ru/state:mos/ed:124,ocd-division/country:ru/state:mos/ed:podolsk
ocd-division/country:ru/state:mos/ed:125,ocd-division/country:ru/state:mos/ed:sergiyev_posad
ocd-division/country:ru/state:mos/ed:126,ocd-division/country:ru/state:mos/ed:serpukhov
ocd-division/country:ru/state:mos/ed:127,ocd-division/country:ru/state:mos/ed:shchyolkovo
ocd-division/country:ru/state:mur/ed:128,ocd-division/country:ru/state:mur/ed:murmansk
ocd-division/country:ru/state:niz/ed:129,ocd-division/country:ru/state:niz/ed:nizhegorodsky
ocd-division/country:ru/state:niz/ed:130,ocd-division/country:ru/state:niz/ed:prioksky
ocd-division/country:ru/state:niz/ed:131,ocd-division/country:ru/state:niz/ed:avtozavodsky
ocd-division/country:ru/state:niz/ed:132,ocd-division/country:ru/state:niz/ed:kanavinsky
ocd-division/country:ru/state:niz/ed:133,ocd-division/country:ru/state:niz/ed:borsky
ocd-division/country:ru/state:ngr/ed:134,ocd-division/country:ru/state:ngr/ed:novgorod
ocd-division/country:ru/state:nvs/ed:135,ocd-division/country:ru/state:nvs/ed:novosibirsky
ocd-division/country:ru/state:nvs/ed:136,ocd-division/country:ru/state:nvs/ed:novosibirsk_-_central
ocd-division/country:ru/state:nvs/ed:137,ocd-division/country:ru/state:nvs/ed:iskitim
ocd-division/country:ru/state:nvs/ed:138,ocd-division/country:ru/state:nvs/ed:barabinsk
ocd-division/country:ru/state:oms/ed:139,ocd-division/country:ru/state:oms/ed:omsky
ocd-division/country:ru/state:oms/ed:140,ocd-division/country:ru/state:oms/ed:moskalenki
ocd-division/country:ru/state:oms/ed:141,ocd-division/country:ru/state:oms/ed:lyubinsky
ocd-division/country:ru/state:ore/ed:142,ocd-division/country:ru/state:ore/ed:orenburgsky
ocd-division/country:ru/state:ore/ed:143,ocd-division/country:ru/state:ore/ed:buguruslan
ocd-division/country:ru/state:ore/ed:144,ocd-division/country:ru/state:ore/ed:orsk
ocd-division/country:ru/state:orl/ed:145,ocd-division/country:ru/state:orl/ed:orlovsky
ocd-division/country:ru/state:pnz/ed:146,ocd-division/country:ru/state:pnz/ed:penza
ocd-division/country:ru/state:pnz/ed:147,ocd-division/country:ru/state:pnz/ed:lermontovsky
ocd-division/country:ru/state:psk/ed:148,ocd-division/country:ru/state:psk/ed:pskov
ocd-division/country:ru/state:ros/ed:149,ocd-division/country:ru/state:ros/ed:rostov
ocd-division/country:ru/state:rya/ed:156,ocd-division/country:ru/state:rya/ed:ryazansky
ocd-division/country:ru/state:rya/ed:157,ocd-division/country:ru/state:rya/ed:skopin
ocd-division/country:ru/state:sam/ed:158,ocd-division/country:ru/state:sam/ed:samarsky
ocd-division/country:ru/state:sam/ed:159,ocd-division/country:ru/state:sam/ed:tolyattinsky
ocd-division/country:ru/state:sam/ed:160,ocd-division/country:ru/state:sam/ed:krasnoglinsky
ocd-division/country:ru/state:sam/ed:161,ocd-division/country:ru/state:sam/ed:zhigulevsk
ocd-division/country:ru/state:sam/ed:162,ocd-division/country:ru/state:sam/ed:promyshlenny
ocd-division/country:ru/state:sar/ed:163,ocd-division/country:ru/state:sar/ed:saratovsky
ocd-division/country:ru/state:sar/ed:164,ocd-division/country:ru/state:sar/ed:balakovo
ocd-division/country:ru/state:sar/ed:165,ocd-division/country:ru/state:sar/ed:balashov
ocd-division/country:ru/state:sar/ed:166,ocd-division/country:ru/state:sar/ed:engels
ocd-division/country:ru/state:sak/ed:167,ocd-division/country:ru/state:sak/ed:sakhalin
ocd-division/country:ru/state:sve/ed:168,ocd-division/country:ru/state:sve/ed:sverdlovsky
ocd-division/country:ru/state:sve/ed:169,ocd-division/country:ru/state:sve/ed:kamensk-uralsky
ocd-division/country:ru/state:sve/ed:170,ocd-division/country:ru/state:sve/ed:beryozovsky
ocd-division/country:ru/state:sve/ed:171,ocd-division/country:ru/state:sve/ed:nizhny_tagil
ocd-division/country:ru/state:sve/ed:172,ocd-division/country:ru/state:sve/ed:asbest
ocd-division/country:ru/state:sve/ed:173,ocd-division/country:ru/state:sve/ed:pervouralsk
ocd-division/country:ru/state:sve/ed:174,ocd-division/country:ru/state:sve/ed:serov
ocd-division/country:ru/state:tve/ed:179,ocd-division/country:ru/state:tve/ed:tverskoy
ocd-division/country:ru/state:tve/ed:180,ocd-division/country:ru/state:tve/ed:zavolzhsky
ocd-division/country:ru/state:tul/ed:183,ocd-division/country:ru/state:tul/ed:tulsky
ocd-division/country:ru/state:tul/ed:184,ocd-division/country:ru/state:tul/ed:novomoskovsk
ocd-division/country:ru/state:tyu/ed:185,ocd-division/country:ru/state:tyu/ed:tyumen
ocd-division/country:ru/state:tyu/ed:186,ocd-division/country:ru/state:tyu/ed:zavodoukovsk
ocd-division/country:ru/state:uly/ed:187,ocd-division/country:ru/state:uly/ed:ulyanovsk
ocd-division/country:ru/state:uly/ed:188,ocd-division/country:ru/state:uly/ed:radishchevsky
ocd-division/country:ru/state:che/ed:189,ocd-division/country:ru/state:che/ed:chelyabinsk
ocd-division/country:ru/state:che/ed:190,ocd-division/country:ru/state:che/ed:metallurgichesky
ocd-division/country:ru/state:che/ed:191,ocd-division/country:ru/state:che/ed:korkino
ocd-division/country:ru/state:che/ed:192,ocd-division/country:ru/state:che/ed:magnitogorsk
ocd-division/country:ru/state:che/ed:193,ocd-division/country:ru/state:che/ed:zlatoust
ocd-division/country:ru/state:yar/ed:194,ocd-division/country:ru/state:yar/ed:yaroslavl
ocd-division/country:ru/state:yar/ed:195,ocd-division/country:ru/state:yar/ed:rostovsky
ocd-division/country:ru/state:mow/ed:196,ocd-division/country:ru/state:mow/ed:babushkinsky
ocd-division/country:ru/state:mow/ed:197,ocd-division/country:ru/state:mow/ed:kuntsevo
ocd-division/country:ru/state:mow/ed:198,ocd-division/country:ru/state:mow/ed:leningradsky
ocd-division/country:ru/state:mow/ed:199,ocd-division/country:ru/state:mow/ed:lyublino
ocd-division/country:ru/state:mow/ed:200,ocd-division/country:ru/state:mow/ed:medvedkovo
ocd-division/country:ru/state:mow/ed:201,ocd-division/country:ru/state:mow/ed:nagatino
ocd-division/country:ru/state:mow/ed:202,ocd-division/country:ru/state:mow/ed:novomoskovsky
ocd-division/country:ru/state:mow/ed:203,ocd-division/country:ru/state:mow/ed:orekhovo-borisovo
ocd-division/country:ru/state:mow/ed:204,ocd-division/country:ru/state:mow/ed:perovo
ocd-division/country:ru/state:mow/ed:205,ocd-division/country:ru/state:mow/ed:preobrazhensky
ocd-division/country:ru/state:mow/ed:206,ocd-division/country:ru/state:mow/ed:tushinsky
ocd-division/country:ru/state:mow/ed:207,ocd-division/country:ru/state:mow/ed:khovrino
ocd-division/country:ru/state:mow/ed:208,ocd-division/country:ru/state:mow/ed:moscow_city_-_central
ocd-division/country:ru/state:mow/ed:209,ocd-division/country:ru/state:mow/ed:cheryomushkinsky
ocd-division/country:ru/state:mow/ed:210,ocd-division/country:ru/state:mow/ed:chertanovsky
ocd-division/country:ru/state:spe/ed:211,ocd-division/country:ru/state:spe/ed:city_of_saint_petersburg_-_east
ocd-division/country:ru/state:spe/ed:212,ocd-division/country:ru/state:spe/ed:city_of_saint_petersburg_-_west
ocd-division/country:ru/state:spe/ed:213,ocd-division/country:ru/state:spe/ed:city_of_saint_petersburg_-_north
ocd-division/country:ru/state:spe/ed:214,ocd-division/country:ru/state:spe/ed:city_of_saint_petersburg_-_north-east
ocd-division/country:ru/state:spe/ed:215,ocd-division/country:ru/state:spe/ed:city_of_saint_petersburg_-_north-west
ocd-division/country:ru/state:spe/ed:216,ocd-division/country:ru/state:spe/ed:city_of_saint_petersburg_-_central
ocd-division/country:ru/state:spe/ed:217,ocd-division/country:ru/state:spe/ed:city_of_saint_petersburg_-_south-east
ocd-division/country:ru/state:spe/ed:218,ocd-division/country:ru/state:spe/ed:city_of_saint_petersburg_-_south
ocd-division/country:ru/state:yev/ed:220,ocd-division/country:ru/state:yev/ed:jewish
ocd-division/country:ru/state:nen/ed:221,ocd-division/country:ru/state:nen/ed:nenetsky
ocd-division/country:ru/state:khm/ed:222,ocd-division/country:ru/state:khm/ed:khanty-mansiysky
ocd-division/country:ru/state:khm/ed:223,ocd-division/country:ru/state:khm/ed:nizhnevartovsky
ocd-division/country:ru/state:chu/ed:224,ocd-division/country:ru/state:chu/ed:chukotsky
ocd-division/country:ru/state:yan/ed:225,ocd-division/country:ru/state:yan/ed:yamalo-nenetsky
