id,name,validFrom,validThrough
ocd-division/country:ru/state:ad/ed:adygea,Adygea,,
ocd-division/country:ru/state:al/ed:altai,Altai,,
ocd-division/country:ru/state:alt/ed:40,Rubtsovsky,,2025-05-23
ocd-division/country:ru/state:alt/ed:barnaulsky,Barnaulsky,,
ocd-division/country:ru/state:alt/ed:biysk,Biysk,,
ocd-division/country:ru/state:alt/ed:slavgorod,Slavgorod,,
ocd-division/country:ru/state:amu/ed:amursky,Amursky,,
ocd-division/country:ru/state:ark/ed:arkhangelsky,Arkhangelsky,,
ocd-division/country:ru/state:ark/ed:kotlas,Kotlas,,
ocd-division/country:ru/state:ast/ed:astrakhan,Astrakhan,,
ocd-division/country:ru/state:ba/ed:beloretsky,Beloretsky,,
ocd-division/country:ru/state:ba/ed:blagoveshchensky,Blagoveshchensky,,
ocd-division/country:ru/state:ba/ed:neftekamsk,Neftekamsk,,
ocd-division/country:ru/state:ba/ed:salavat,Salavat,,
ocd-division/country:ru/state:ba/ed:sterlitamak,Sterlitamak,,
ocd-division/country:ru/state:ba/ed:ufimsky,Ufimsky,,
ocd-division/country:ru/state:bel/ed:belgorodsky,Belgorodsky,,
ocd-division/country:ru/state:bel/ed:stary_oskol,Stary Oskol,,
ocd-division/country:ru/state:bry/ed:bryansky,Bryansky,,
ocd-division/country:ru/state:bry/ed:unecha,Unecha,,
ocd-division/country:ru/state:bu/ed:buryatia,Buryatia,,
ocd-division/country:ru/state:ce/ed:chechnya,Chechnya,,
ocd-division/country:ru/state:che/ed:chelyabinsk,Chelyabinsk,,
ocd-division/country:ru/state:che/ed:korkino,Korkino,,
ocd-division/country:ru/state:che/ed:magnitogorsk,Magnitogorsk,,
ocd-division/country:ru/state:che/ed:metallurgichesky,Metallurgichesky,,
ocd-division/country:ru/state:che/ed:zlatoust,Zlatoust,,
ocd-division/country:ru/state:chu/ed:chukotsky,Chukotsky,,
ocd-division/country:ru/state:cu/ed:cheboksarsky,Cheboksarsky,,
ocd-division/country:ru/state:cu/ed:kanash,Kanash,,
ocd-division/country:ru/state:da/ed:buynaksk,Buynaksk,,
ocd-division/country:ru/state:da/ed:derbent,Derbent,,
ocd-division/country:ru/state:da/ed:makhachkala,Makhachkala,,
ocd-division/country:ru/state:in/ed:ingushetia,Ingushetia,,
ocd-division/country:ru/state:irk/ed:angarsk,Angarsk,,
ocd-division/country:ru/state:irk/ed:bratsk,Bratsk,,
ocd-division/country:ru/state:irk/ed:irkutsky,Irkutsky,,
ocd-division/country:ru/state:irk/ed:shelekhov,Shelekhov,,
ocd-division/country:ru/state:iva/ed:91,Ivanovo,,2025-05-23
ocd-division/country:ru/state:iva/ed:92,Kineshma,,2025-05-23
ocd-division/country:ru/state:kam/ed:kamchatka,Kamchatka,,
ocd-division/country:ru/state:kb/ed:kabardino-balkaria,Kabardino-Balkaria,,
ocd-division/country:ru/state:kc/ed:karachay-cherkessia,Karachay-Cherkessia,,
ocd-division/country:ru/state:kda/ed:46,Krasnodar,,2025-05-23
ocd-division/country:ru/state:kda/ed:47,Krasnoarmeyskiy,,2025-05-23
ocd-division/country:ru/state:kda/ed:48,Slavic,,2025-05-23
ocd-division/country:ru/state:kda/ed:49,Tuapse,,2025-05-23
ocd-division/country:ru/state:kda/ed:50,Sochi,,2025-05-23
ocd-division/country:ru/state:kda/ed:51,Tikhoretsk,,2025-05-23
ocd-division/country:ru/state:kda/ed:52,Armavir,,2025-05-23
ocd-division/country:ru/state:kda/ed:53,Kanev,,2025-05-23
ocd-division/country:ru/state:kda/ed:chernomorsky,Chernomorsky,2025-05-23,
ocd-division/country:ru/state:kda/ed:krasnodar_-_central,Krasnodar - Central,2025-05-23,
